EmployeeID,Gender,AgeGroup,Department,Position,Location,JoinDate,ExitDate,TenureMonths,ManagerRating,SatisfactionScore,ReasonForLeaving,WouldRecommend,HasCounteroffer
E02226,Female,20-29,Marketing,Analyst,Mumbai,2018-10-30,2025-03-27,77,5,10,Compensation,No,No
E02147,Non-binary,30-39,Engineering,Individual Contributor,Delhi,2020-02-14,2024-11-11,57,3,6,Career Growth,Yes,No
E02122,Female,30-39,Sales,Individual Contributor,Chennai,2020-05-26,2024-06-23,49,2,4,Compensation,No,No
E02222,Male,20-29,Finance,Individual Contributor,Delhi,2020-09-15,2024-11-13,50,3,7,Health,No,No
E02176,Male,20-29,Marketing,Analyst,Bengaluru,2022-02-09,2023-09-09,19,4,6,Compensation,Maybe,No
E02138,Prefer not to say,30-39,Engineering,Director,Mumbai,2023-09-06,2025-02-03,17,4,10,Manager Issues,Yes,No
E02108,Male,40-49,Engineering,Senior Analyst,Chennai,2022-05-09,2023-10-07,17,4,9,Relocation,Yes,Yes
E02134,Male,20-29,Marketing,Analyst,Mumbai,2024-04-10,2025-05-10,13,4,9,Career Growth,No,No
E02210,Male,30-39,Customer Support,Analyst,Mumbai,2022-06-03,2024-04-01,22,5,10,Compensation,No,Yes
E02100,Male,20-29,Engineering,Analyst,Pune,2016-08-15,2024-03-12,91,4,5,Compensation,Yes,Yes
E02216,Male,30-39,HR,Analyst,Delhi,2023-05-21,2024-05-19,12,3,6,Compensation,Yes,No
E02016,Prefer not to say,20-29,Sales,Analyst,Chennai,2023-07-11,2025-02-07,19,3,7,Career Growth,Yes,Yes
E02142,Female,20-29,Customer Support,Analyst,Hyderabad,2022-11-29,2024-04-28,17,5,10,Compensation,Yes,No
E02059,Female,30-39,Finance,Individual Contributor,Mumbai,2023-02-04,2024-08-04,18,4,8,Compensation,Yes,No
E02151,Male,30-39,Marketing,Senior Manager,Bengaluru,2023-03-09,2025-03-07,24,3,8,Better Opportunity,No,No
E02194,Male,30-39,Sales,Senior Analyst,Mumbai,2022-10-15,2023-09-14,11,3,5,Manager Issues,No,Yes
E02106,Female,30-39,Engineering,Manager,Bengaluru,2023-10-23,2025-02-20,16,3,4,Better Opportunity,No,No
E02139,Male,20-29,Sales,Analyst,Delhi,2022-11-09,2024-08-08,21,5,10,Better Opportunity,No,No
E02207,Female,20-29,Finance,Individual Contributor,Mumbai,2022-03-19,2023-11-17,20,5,10,Career Growth,No,Yes
E02089,Male,30-39,Sales,Senior Analyst,Bengaluru,2020-10-25,2025-04-23,54,4,8,Personal,Yes,No
