question,label
filter by 2024,refinement
exclude all return entries,refinement
prediction of employee turnover rate for the next 6 months,forecast
what's the big picture?,overview
what are the bottom 5 sales performers,top_bottom
refine to karnataka,refinement
what's the main thing that stands out?,insights
projecting the future sales,forecast
explain this chart to me,explain
display records,raw_data
show only 2024,refinement
pattern of user retention over time,trend
amount's down - what's the reason,root_cause
next year's predicted expenses,forecast
estimating future expenses,forecast
estimate the numbers for 2024,forecast
what's the weather suppost to be,unclear
relationship between measures,correlation
surprise me,insights
year over year growth rate,trend
what does the chart indicate,explain
how are the metrics connected,correlation
"hi, how was your week?",smalltalk
what does this data represent,explain
high level overview of whats interesting,insights
show me revenue over time,trend
i'm confused about everything,unclear
why did our sales numbers go down?,root_cause
how are you doing today,smalltalk
show me the projected numbers for the next 3 quarters,forecast
whats the worst product we have,top_bottom
describe what i'm looking at,explain
i need help with my homework,unclear
what drove the increase,root_cause
i want to know whats intresting,insights
show me the raw data,raw_data
can you analize the corelation between amount and boxes shipped,correlation
what are the 10 worst cities by traffic congestion,top_bottom
list the bottom 5 items by sales,top_bottom
what's the story behind the stats,explain
show me the raw data set,raw_data
how do i find out the time,unclear
"what's the predicted outlook for q1, q2, and q3",forecast
i need a summary of the important stuff,overview
what does the fox say,unclear
month by month revenue pattern,trend
how much will the kpi be in a year,forecast
interpret this dashboard,explain
can you draw a picture,unclear
what's the top level view?,overview
list all records,raw_data
what are all the records,raw_data
forecasting order intake for the upcoming quarter,forecast
"nice to meet you, thanks for chatting",smalltalk
explane the visualizations,explain
how's life treating you,smalltalk
whats worth knowing about this,insights
what's catchin my attention,insights
predict future trends,forecast
can you tell me a joke about chickens,unclear
"hi, how are you doing today",smalltalk
japan shouldnt be in the results,refinement
remove all returns from view,refinement
display a sample of the orginal data,raw_data
elaborate on the key takeways,explain
what are some interesting facts here,insights
can you shed some light on these numbers,explain
"hello, how r u?",smalltalk
give me india data,refinement
whats the projected forecast for the next 3 quarters,forecast
give me an update on our progress,overview
i want to see the top level metrics,overview
monthly breakdown of orders,trend
can you provide a high-level overview,overview
give me a projection of our expenses for next year,forecast
give me the table,raw_data
what will be the sales like in the comming year,forecast
identify the root cause of the decline,root_cause
highlight spikes in the data,anomaly
what's worth noting in the data,insights
can you highlite some key observations?,insights
display the data sample,raw_data
measures that affect each other,correlation
can you highlight whats important,insights
whats the main story here?,overview
is price dependent on quantity,correlation
can someone walk me thru this chart,explain
gracias,smalltalk
"hi, nice to finally meet you in person",smalltalk
what's the relationship between customer satisfaction and sales?,correlation
i'm looking for a new hairstyle,unclear
i'm looking for a joke,unclear
what are the main points i should know,overview
what is the currnt situaton?,overview
can you predict the next quarter and two after that,forecast
list the 10 bottom performing customers,top_bottom
thanks again,smalltalk
trend of orders over time,trend
how can we make sense of these figures on the screen?,explain
anomalous behaviour in customer purchases,anomaly
can you shed some light on this dashboard's data,explain
can you point out somethin interesting?,insights
"country amount rankings, top and bottom",top_bottom
identify freak data points,anomaly
whats the most interesting thing,insights
i need help with somethin else,unclear
thansk alot,smalltalk
analyze the reason for the decline in order numbers,root_cause
how will the numbers look like next year,forecast
what are the predicted values for the next 3 quarters,forecast
what are the key metrics looking like,overview
what's the difference between a cat and dog,unclear
forecasting model for future customer behavior,forecast
the reason behing the decrease,root_cause
what insights can be gained from the visualization,explain
what are the outliers in this set,anomaly
how do i make sense of this,explain
reset to electronics section,refinement
factors that led to the growth,root_cause
great to meet you in person,smalltalk
units sold and revenue: is there a connection,correlation
i want to see the unfiltered data,raw_data
"i'm not sure what i'm lookin at, can you help",explain
"good morning, nice to meet you",smalltalk
thanks a lot,smalltalk
provide a general overview of the business,overview
can you provide a summary report,overview
only last year and this year please,refinement
unusual patterns in the data,anomaly
smallest revenue by region,top_bottom
"good morning, hope you're doing well",smalltalk
root cause of the change,root_cause
what's the significance of this data point,explain
how was your week,smalltalk
list the 5 worst selling items,top_bottom
which variables have a significant correlation?,correlation
display the base records,raw_data
what does this dashboard mean,explain
forecast the next 3 quarters,forecast
display the raw database table,raw_data
what's the meaning of this graph,explain
what to expect in the upcoming year,forecast
show me the main dashboard please,overview
2024 data only,refinement
i need to know about any abnormal data,anomaly
remove all applied filters,refinement
which product sells the most units,top_bottom
trends in customer purchases by season,trend
what are the predicted sales for next year,forecast
can u show me the 3 largest accounts,top_bottom
identify data that stands out,anomaly
"how's everything going, in general?",overview
"nice to meet you, have a great day",smalltalk
what's the relationship like between quantity and price,correlation
uncover abnormal patterns,anomaly
make a prediction about the next 3 quarters of data,forecast
exceptions to the usual trend,anomaly
what color is the sky,unclear
what's worth noting in this context,insights
can you summarize our current position,overview
give me a sample data set,raw_data
what's the pattern of revenue by month,trend
how has the population grown over decades,trend
what's the story behind this chart,explain
what drives the relationship between units and revenue,correlation
how's everything doing overall?,overview
any suprizes in the numbers,insights
what's the current status,overview
i dont no whats goin on,unclear
which variables are correlated,correlation
correlation between amount shipped and number of boxes,correlation
how's your day going so far?,smalltalk
i want to see the bigger picture,overview
whats the story behind this dashboard,explain
what are you doing,smalltalk
karnataka only from now,refinement
can you translate this data into something understandable?,explain
"hey, long time no see",smalltalk
"good to meet you, thanks",smalltalk
show the first 100 rows,raw_data
i'd like to see some key takeaways,insights
filter to show only electronic items,refinement
amount has decreased - what's causing it,root_cause
help me understand the dashboard,explain
can you show me whats worth noting?,insights
summary of the most important findings,insights
how does our stock price change over the years,trend
good bye for now,smalltalk
hello,smalltalk
what happened to cause the fall,root_cause
"best countries by amount, top 10",top_bottom
whats up,smalltalk
what is this dashboard showing us?,explain
filter to show only karnataka,refinement
i need help interpreting this data,explain
what are the main points of this graph?,explain
what's the big picture here?,insights
need to view the raw table,raw_data
the worst products we have to offer,top_bottom
what's the weather like,unclear
why are the numbers lowering,root_cause
explain the results,explain
give me a prediction of the amount for next month,forecast
i need a joke,unclear
who are the best performers in terms of revenue,top_bottom
can you provide some context,explain
japan should be excluded,refinement
start with no filters,refinement
values that dont seem rite,anomaly
how are we performing as a whole?,overview
how has customer count changed by month,trend
projected market trends for the upcoming year,forecast
can you show me the correlation between price and quantity,correlation
"hi, doing alright?",smalltalk
excluding japan completely,refinement
how does quantity impact price,correlation
whats worthy of my attention,insights
the best revenue performers,top_bottom
what's the best part,insights
give me a rundown of our perfomance,overview
monthly revenue pattern,trend
what's the most important thing to know?,insights
can you describe the plot of my favorite movie,unclear
whats good,smalltalk
anticipated future business performance,forecast
show me the dashboard,overview
give me the headline figures,overview
understanding the correlations between data points,correlation
i need last quarter,refinement
detecting freak occurrences in the data,anomaly
what are the most interesting points?,insights
"i want to see the big picture, whats going on?",overview
can you list the top brands in the industry,top_bottom
what do the numbers mean,explain
can you put this info into plain english,explain
can you decipher what this table is telling us?,explain
hello there,smalltalk
how do i interperet this data,explain
can you identify the root cause of decreasing sales,root_cause
forecasting future demand,forecast
give me the lowdown on this data,explain
can you show me the master dashboard?,overview
list the best customers by region,top_bottom
get rid of existing filters,refinement
i need a brief rundown,overview
give me the bottom 5 products with the lowest sales,top_bottom
"hello, how are you",smalltalk
find spikes in the graph,anomaly
what's worth mentioning,insights
what led to the rise in,root_cause
can you analyze the correlation between social media presence and brand awareness,correlation
"hey, hows life",smalltalk
amount trend by season,trend
i want to see all the rows,raw_data
how do i interpret this chart,explain
give me a rundown of whats happening here,explain
can we discus the weather,unclear
compare with prev year,refinement
what can we expect in terms of roi next year,forecast
what's the secret to happiness,unclear
give me an overview of the data,explain
display all records please,raw_data
data that's off the charts,anomaly
what's behind the sales slump?,root_cause
provide an overall performance report,overview
show the top 10 by amount please,top_bottom
i want to see the main highlights,overview
thanks for everythin,smalltalk
how do metrics relate to each other,correlation
what's the trend in electricity consumption,trend
give me a snapshot of our current situation,overview
the best 20 items in desc order,top_bottom
find me the abnormal values,anomaly
i need help understanding this data,explain
can i get a forecast of the next quarter and the two after,forecast
show me the core data,raw_data
can you write a song about heartbreak,unclear
orders forecast for the next 5 years,forecast
forecasted earnings for the next 12 months,forecast
show me the big picture view,overview
elaborate on the insights from this graphic,explain
how do you interpret this visualisation?,explain
can you write a short story about a talking eggplant,unclear
how do you interprete the chart,explain
"hi, hows it going?",smalltalk
categories that have the lowest sales numbers,top_bottom
detecting abnormal behaviour,anomaly
why did sales fall off a cliff?,root_cause
yearly trend of customer retention,trend
what's driving the growth in amount,root_cause
weather forecast please,unclear
just this year,refinement
"is the earth round or flat, idk",unclear
what's the story behind this plot,explain
what are the sales figures by month,trend
measures that influence one another,correlation
show electronics products,refinement
"i'm confused, can you explain this in simpler terms",explain
show me data thats out of the ordinary,anomaly
how has customer count changed yearly,trend
do i need to wear a jacket,unclear
what's the top level view,overview
i want to learn how to dance,unclear
only 2024 data,refinement
which factors influence profit,correlation
revenue has dropped - why,root_cause
can u explain the concept of time travel,unclear
can u tell me whats the deal with cats,unclear
any hidden gems in the data,insights
can you show me sales by season,trend
"i dont get it, can you break it down",explain
explanations for the drop,root_cause
does amount shipped depend on boxes shipped,correlation
wipe out all filters,refinement
can you summarize our current position in the market?,overview
sales figures over the last 5 years,trend
what's the forecast look like for q2,forecast
what's the headline news,overview
can you walk me thru the key findings,explain
i need a general idea of how we're doing,overview
predictive analytics for future orders,forecast
which products are the top and bottom sellers,top_bottom
can you identify correlated variables in my dataset?,correlation
what are the worst selling products,top_bottom
worst perfoming units,top_bottom
what r the least profitable stuff,top_bottom
can you give me some notable trends,insights
show me amount trend from 2010 to 2020,trend
what's interesting to know,insights
estimated sales for the upcoming year,forecast
give me a bird's eye view of our perfomance,overview
show me raw sample data,raw_data
can you explain the decrease in order volume,root_cause
i need to see the raw records,raw_data
show me only electronics,refinement
can you spot any unusual activity,anomaly
i need to know the worst region,top_bottom
monthly trend of orders placed,trend
detect unusual patterns,anomaly
monthly pattern of user engagement,trend
can i get a glimpse of the data,raw_data
provide a brief summary of our status,overview
can you share some interesting observations,insights
can you forecast our orders for the next 2 years,forecast
predicting the future of our business's financials,forecast
whats up with that thing,unclear
what factors contributed to the sales drop,root_cause
can you explain the sudden increase,root_cause
list the bottom 10%,top_bottom
what are some intriguing trends,insights
what does the data look like,overview
trend of sales by month,trend
remove every filter,refinement
need to know info,insights
can we determine if units and revenue are related,correlation
show me only non return data,refinement
why have sales been falling off?,root_cause
how does our revenue change over time,trend
can u forecast the sales 4 next quarter?,forecast
can someone interprete this for me,explain
"is amount seasonal, show me the pattern",trend
i need a general overview of perfomance,overview
find data that seems fishy,anomaly
i need to see the worst performing regions,top_bottom
show the worst 3 products by amount,top_bottom
why did the numbers go up,root_cause
i need help with my english essay,unclear
sales trend over the past year,trend
bottom 5 products with poorest performance,top_bottom
how do i become a millionaire,unclear
how does this chart relate to our business,explain
how strong is the correlation between price and quantity,correlation
export as table,raw_data
display the data table,raw_data
what's the statistical relationship between price and quantity,correlation
laters,smalltalk
how many planets are in our galaxie,unclear
locate data points that are off the charts,anomaly
unusual data points,anomaly
what's the monthly order trend,trend
no filters at all,refinement
what are the key takeaways from this graph,explain
i need a dashboard view of our performance,overview
can i get a high level summary,overview
how does this graph relate to our goals,explain
what's the story behind these numbers,explain
what's causing the blip in our stats,anomaly
"i'm confused, can you explain",explain
outlier detection in financial reports,anomaly
see you tomorrow,smalltalk
spot anomalies in the numbers,anomaly
predicted order volume for q1,forecast
why the sudden jump,root_cause
visualize customer growth by year,trend
give me a fast overview of the key points,overview
can you show me the correlation between amount and boxes,correlation
what does the raw data look like,raw_data
dependencies between metrics,correlation
what's the pattern of revenue by quarter,trend
is there a link between price and volume,correlation
give me a quick rundown of our situation,overview
determine if units and revenue are correlated or independent,correlation
reset and compare with previous year,refinement
can you give me some notable insights,insights
nice to see you again,smalltalk
i could use a break from all this data,unclear
why did revenue take a hit,root_cause
i want to know whats going on,insights
can you tell me a story,unclear
is there a link between social media engagement and sales?,correlation
what are some surprising facts,insights
expected growth rate of our user base,forecast
whats the corelation between sales and customer demographics?,correlation
list the top 8 products with the highest revenue,top_bottom
i hope you have a great week,smalltalk
predicting future sales performance,forecast
appreciate it,smalltalk
rank customers by profitability,top_bottom
how does monthly revenue change,trend
test,unclear
plot the historic data of stock prices,trend
anything worth noting in the numbers,insights
category a exclusively,refinement
any unusual data points,anomaly
which country has the largest amount?,top_bottom
what's the current state of affairs?,overview
i like pizza,unclear
can you highlight whats notable,insights
revert to no filters,refinement
prediction of future growth,forecast
can you break down this data for me,explain
give me a top level view of our perfomance,overview
what's the point of this,unclear
its lovely to meet you,smalltalk
how are we doing comparied to last year,overview
give me the most important info,insights
reset filters to this year,refinement
what drives customer purchasing behavior?,correlation
reason for amount's recent drop,root_cause
disply the orginal rows,raw_data
i need a summary,overview
what are the main factors behind the growth,root_cause
i want to see whats poppin,insights
do you think artificial intelligence will surpass human intelligence,unclear
dont filter anything,refinement
long term forecast for stock prices,forecast
un.expected values in the db,anomaly
can you point out any surprises,insights
what's the unusual values,anomaly
see you when i see you,smalltalk
data points that dont fit,anomaly
diagnose the reason for the slump in sales,root_cause
anything notable in the statistics,insights
show me the most interesting stuff,insights
"hey, hows everything going",smalltalk
whats the most important thing to know,insights
"rank everything by profit, whats at the bottom",top_bottom
predicted income for the next 18 months,forecast
find anomalies in amount,anomaly
unexplained changes in the data,anomaly
i want to see it all,refinement
"its been a while, how are things",smalltalk
i want to see the big picture,overview
"bye for now, take care",smalltalk
sales over time,trend
what are the key performance indicators,overview
see the orginal dataset,raw_data
can you give me a brief rundown,overview
how's everything going on?,smalltalk
whats the expected amount of revenue for next quater,forecast
is it morning yet,unclear
what's worth knowing about this data,insights
how much revenue can we expect in the next quarter?,forecast
key observations,insights
how's everything going so far,overview
need to predict the next 3 quarters of sales,forecast
"nice to meet u, tc",smalltalk
projection of future market conditions,forecast
has amount increased or decreased over time,trend
how does it look vs last year,refinement
which are the top 10 with the highest amount?,top_bottom
estimate future revenue,forecast
can you tell me whats going on with this graph,explain
what happend to cause the change,root_cause
the least sucessful sales peoples,top_bottom
can you explain why amount dropped,root_cause
"amount, how has it changed over the years",trend
tell me whats goin on,insights
what are the projected earnings for the next 3 months?,forecast
can you tell me why amount's changing,root_cause
limit to 2024,refinement
give me a list of the top 12 products by revenue,top_bottom
monthly sales fluctuations,trend
can you give me a perfomance update?,overview
compared to the year before,refinement
"hi, hows everything",smalltalk
filter by year 2024,refinement
visualize quarterly earnings trend,trend
give me a snapshot,overview
overall perfomance stats,overview
evening,smalltalk
track down weird discrepensies in the numbers,anomaly
why the numbers are down,root_cause
what is the pattern of sales over time,trend
thank you very much,smalltalk
seasonality of sales,trend
which customer is the most valuable,top_bottom
nice,smalltalk
provide a summary of our key metrics and perfomance,overview
show me the regions thats performing the worst,top_bottom
what are the main insights,insights
who are you,smalltalk
need a quick update on everythin,overview
are units and revenue related,correlation
can you recommand a movie,unclear
"i need help with my math homework, but not really",unclear
list the 10 customers with the lowest sales figures,top_bottom
what are the key takeaways from this?,insights
how do sales fluctuate seasonally,trend
what drives the amount shipped in relation to boxes,correlation
give me the main points,overview
whats the weird data point,anomaly
what are the predicted sales for next quarter,forecast
amount's rising fast - what's behind it,root_cause
what are the outliers,anomaly
what can we learn from this data,insights
price and quantity: are they connected,correlation
until next time,smalltalk
nice to talk to you,smalltalk
tell me something i dont know,insights
show me the main dashboard,overview
show me the underlying rows,raw_data
detect unusual activity,anomaly
"hey, whats going on?",smalltalk
give me the lowdown on the current metrics,explain
filter to current year,refinement
what story is this data trying to tell us?,explain
what are the main insights i should know,insights
refine to category a,refinement
i need to know everythin,unclear
i need to see the underlying records,raw_data
what's the most importent thing to know,insights
tell me about cats,unclear
is there a seasonal pattern in customer purchases,trend
estimated future profits,forecast
why the sudden drop in revenue,root_cause
can you write a poem about summer,unclear
the top ten with the most amount,top_bottom
tell me what's interesting here,insights
2024 only please,refinement
do you like music,unclear
values that are way off,anomaly
sales growth over the last year,trend
can you give me a quick rundown?,overview
show me the raw info,raw_data
can you summarize the key points?,overview
flagging suspicious account activty,anomaly
show me india,refinement
show the dataset,raw_data
summarize the highlights for me,insights
what are the reasons behind the drop in sales,root_cause
what's the overall insight from this data?,insights
i need the best 8 items,top_bottom
discover abnormal trends,anomaly
why did orders go down,root_cause
show the base data,raw_data
trend of sales over the last decade,trend
i want to see the outliers in this data,anomaly
brands that are doing the best,top_bottom
"i dont get it, can you elaborate",explain
why is sales revenue decreasing?,root_cause
what are the raw rows,raw_data
relationship betweeen datas,correlation
how does amount correlate with boxes shipped,correlation
show revenue trend by month,trend
dont show returns,refinement
help me understand this,explain
tell me somethin interesting,insights
find the unusual values in the table,anomaly
diagnose the reason for the change,root_cause
what are some intersting trends in this data?,insights
can you explain this graph to me,explain
see you soon,smalltalk
good day,smalltalk
show me the worst and best selling products,top_bottom
analyze the trend of user retention rate,trend
find the weird data points for me,anomaly
projected earnings for next quarter,forecast
which are the 15 lowest ranked universities by student satisfaction,top_bottom
can you determine the relationship between marketing spend and revenue,correlation
what's the most notable aspect,insights
i want the sample data,raw_data
year over year comparision of revenue,trend
display sample records,raw_data
the worst brands to invest in,top_bottom
show unfiltered results,refinement
can you provide some actionable insights?,insights
long time no talk,smalltalk
"how's everything going, give me a quick rundown",overview
show revenue by quarter,trend
thx for everythin,smalltalk
provide me with general info,unclear
anything worth knowing in this report,insights
last quarter data please,refinement
projection of income for the upcoming year,forecast
stuff thats actually worth looking at,insights
whats goin on with these numbers on the screen?,explain
what are the most interesting aspects,insights
i need help understanding the data,explain
any interesting trends or patterns,insights
find the salesperson with the lowest earnings,top_bottom
why did the metric rise so sharply,root_cause
begin with a clean slate,refinement
i have no idea whats happening,unclear
"hey, hows everything",smalltalk
i need help with my math homework,unclear
is revenue dependent on the number of units sold,correlation
projected revenue for the upcoming year,forecast
what are the projected sales figures for next quarter,forecast
show me the table,raw_data
why is revenue down,root_cause
what are the exceptional values,anomaly
reasons for revenue drop,root_cause
display the 8 worst performing stocks by value,top_bottom
japan exclusion,refinement
what's the deal with turtles,unclear
i want to see whats surprising,insights
how do these stats relate to each other,explain
are there any surprises in the data,insights
how much money will we make in the next 3 years,forecast
finding data that is out of place,anomaly
what is your favret food,unclear
do amount and boxes shipped have a strong correlation,correlation
give me a list of regions from top to bottom,top_bottom
can u find me some correlated fields?,correlation
what's the reason for the increase,root_cause
predicting future order trends,forecast
something that dont add up,insights
could you estimate the figures for the next half year,forecast
can you show me the raw records?,raw_data
detect anomalies in this data set,anomaly
determine the root cause of the trend,root_cause
show the data without any aggregation,raw_data
i want to know how we're doing overall,overview
2024 only thanks,refinement
the bottom of the barrel: worst selling categories,top_bottom
"forecast for next 3 quaters, whats it look like",forecast
can you give me a rundown of the key findings?,explain
what are the top 15 products with the most sales,top_bottom
give me an overview,overview
can you explane a meme to me,unclear
start fresh with no filters,refinement
"hello, hope you're doing great",smalltalk
what is the meaning of this data visualization,explain
can you forecast the growth of our market share,forecast
show me sales trend,trend
wishing you a wonderful day,smalltalk
what's the main point of this visualization,explain
how many orders can we expect in the next 12 months,forecast
what's the factor behind the growth,root_cause
sales by month - is there a pattern?,trend
what does this chart indicate about our perfomance,explain
"it's been a while, how have you been doing",smalltalk
only show 2024,refinement
how does revenue change by month,trend
where do we stand right now,overview
estimated revenue for the next fiscal year,forecast
find the black swans in the data,anomaly
can you describe what i'm looking at here,explain
what is the relationship between amount shipped and boxes,correlation
dont apply any filters,refinement
i want to examine the sample data,raw_data
what's the story behind the numbers,insights
show sample rows,raw_data
identify abnormal values,anomaly
why the growth stopped,root_cause
cheers mate,smalltalk
give me the lowdown on whats happening,insights
can you help me identify some weird data,anomaly
can you list the products with the highest and lowest sales,top_bottom
what does this visualization mean,explain
can you add electronics to the list,refinement
can you describe the atmospheric conditions,unclear
can you provide some context for this chart,explain
i really appreciate that,smalltalk
what's the best movie ever,unclear
filterless search,refinement
how do i interpret this data visualization,explain
show the first 100 records,raw_data
explain the cause of the decine,root_cause
factor analysis,correlation
why has there been a drop off in orders,root_cause
how do i set my watch,unclear
estimating the forecast for the next 3 quarters,forecast
forecast revenue for next year,forecast
can you provide a short summary of our acheivements,overview
can you provide context for this visualization?,explain
identify the correlations between data,correlation
what are the key insights from this data,insights
values that are way out of range,anomaly
restrict to india,refinement
any interesting patterns emerge,insights
investigate the cause of the orders decline,root_cause
can you show the raw table,raw_data
show data for karnataka,refinement
no filters please,refinement
give me a summary of our performance,overview
what jumps out,insights
what's the reason for the orders downturn,root_cause
give me an estimate of the next 3 quarter's performance,forecast
have a fantastic day ahead,smalltalk
clear all of them,refinement
identify the root cause of declining orders,root_cause
hey whats new,smalltalk
what values are far away from the mean,anomaly
"hey, how's it going",smalltalk
projecting earnings per share for the next year,forecast
i need the original records,raw_data
"thanks, catch you later",smalltalk
future outlook for the company's profits,forecast
what stands out in the analysis,insights
only 2025,refinement
good day to you,smalltalk
what's the pattern of sales by month,trend
highlight any strange occurrences,anomaly
without japan,refinement
narrow down to electronics,refinement
"goodbye, see you later",smalltalk
what's the most interesting aspect of this,insights
which regions are at the bottom in terms of performance,top_bottom
identify data points that are way off,anomaly
can you give me some key insights?,insights
why did it go up,root_cause
what variables impact customer satisfaction,correlation
can you give me a rundown of this report,explain
can you recomend a book,unclear
what region is doing the worst,top_bottom
can you give me a summary of whats intresting,insights
"i dont understand the trend on this graph, can you explain?",explain
whats the weather like,unclear
key things to take away,insights
apply filter for this year,refinement
give me some direction please,unclear
who are the least valuable customers,top_bottom
give me a snapshot of our perfomance,overview
play music,unclear
give me an estimate of future growth,forecast
i wanna see the whole table,raw_data
what's behind the downturn in orders,root_cause
estimated earnings per share for q2,forecast
show me the trend in revenue,trend
next years sales forecast,forecast
brands with the highest revenue,top_bottom
hello again,smalltalk
i want to discuss the weather,unclear
what will our revenue be in 2025,forecast
can i see the overall perfomance indicators,overview
categories with the poorest sales performance,top_bottom
how are we doing,overview
what values are outside the norm,anomaly
revenue leaders,top_bottom
?,unclear
predictive analysis for the next 6 months,forecast
predict revenue for next 3 quarters please,forecast
can you put into plain words what this data means?,explain
break this down for me,explain
you're a lifesaver,smalltalk
need to see the top 25 and worst 10,top_bottom
rank the top 3 products by amount made,top_bottom
highlight the most significent findings,insights
can you recommend a restaurant,unclear
how do sales change over the years,trend
can you share some insightful information,insights
anticipated customer acquisition costs,forecast
restrict to karnataka,refinement
trend analysis of revenue by quarter,trend
irregular transactions,anomaly
unusual fluctuations in the data,anomaly
show the base data now,raw_data
how does the world work,unclear
what led to the decrease in orders,root_cause
what does this chart represent,explain
show me the anomalies,anomaly
can you put this data into perspective,explain
clarify this chart,explain
"how's it going, buddy",smalltalk
which region has the worst performance metrics,top_bottom
is it time for lunch,unclear
growth trend of social media followers over the past year,trend
what are the relationships between different metrics?,correlation
"hello, how are things going?",smalltalk
detecting anomalous behavior,anomaly
how does our revenue change throughout the year,trend
can you teach me a language,unclear
explain this diagram in simple terms,explain
only karnataka from now on,refinement
what caused the downturn in our sales,root_cause
i'm looking for some interesting patterns,insights
"great to meet you, talk to you soon",smalltalk
show the bottom 5 countries with the lowest life expectancy,top_bottom
can you list the top 5 sales performers,top_bottom
what is the trend of orders per month,trend
how do i interpret this information,explain
what are the worst selling categories,top_bottom
list the sales team from highest to lowest paid,top_bottom
i need an answer to nothin,unclear
show the dataset in its entirety,raw_data
unusual activity in the logs,anomaly
can i get a general overview of our results,overview
identify outliers in the dataset,anomaly
give me a sample of the rows,raw_data
give me the lowdown on whats goin on,insights
show me only karnataka,refinement
can you describe a beautiful sunset,unclear
"hey, whats new with you?",smalltalk
seasonal fluctuation in profits,trend
what are the key takeaways from this chart,explain
what is the main point of this visualization,explain
anything interesting to point out,insights
what are the insights i should know,insights
can you talk about the weather,unclear
detect abnormal values in the column,anomaly
whats new with you?,smalltalk
what are the biggest 3 accounts we got,top_bottom
what are the most interesting facts?,insights
what's interesting about this data,insights
what are the projected sales figures for the next quarter?,forecast
rank the top 20 items for me,top_bottom
get me the daily trend data,trend
how do sales compare to industry benchmarks and trends?,correlation
do sales correlate with trade shows and events?,correlation
show me some interesting data points,insights
can you forecast the income for the next 12 months?,forecast
what's the reason for the recent fluctuation in amount,root_cause
are there any key insights,insights
weird data points that need explaining,anomaly
give me an overview of the most notable trends,insights
show me the top sales performers in the company,top_bottom
rank companies by reveneu,top_bottom
what's behind the decrease in amount,root_cause
detect unusual activity in the logs,anomaly
what are the key perfomance indicators?,overview
give me a list of the worst products,top_bottom
i only want 2024,refinement
why did we see a decrease,root_cause
give me an example of the data,raw_data
trend analysis of monthly expenses,trend
restrict to 2024,refinement
i wanna know whats linked to user retention,correlation
what's the predicted amount for next quarter,forecast
list the worst sales performers,top_bottom
highlight any values that are out of the ordinary,anomaly
"i dont get it, can someone explain this graph?",explain
revenue prediction for the next 12 months,forecast
growth rate of user base by season,trend
can you disply the first 100 rows,raw_data
sales projection for the next year please,forecast
what led to the revenue downturn,root_cause
correlation between data points,correlation
can i get a summary of our perfomance to date,overview
which products have the lowest profit margins?,top_bottom
what's the best pun you know,unclear
why did revenue decrease so much,root_cause
show me whats standin out,insights
year over year growth trend,trend
do you think bigfoot is real or not,unclear
most popular product by sales,top_bottom
historical data trend pls,trend
detect abnormal values,anomaly
"boxes shipped and amount shipped, correlated?",correlation
can i get a dashboard view?,overview
whats worth lookin into further,insights
can u tell me the time pls,unclear
how do variables interact with each other?,correlation
how r we doin,overview
why did revenue fall,root_cause
correlation between boxes shipped and amount recived,correlation
what made revenue go down,root_cause
point out weird values,anomaly
what's the cause of amount's decline,root_cause
"hey, how was your week?",smalltalk
what is the definition of life,unclear
projecting sales for the next fiscal year,forecast
give me a summary of everything,overview
what are the notable trends,insights
"how many dimensions are there in our universe, i think",unclear
does it have seasonality?,trend
help me understand what this chart is telling me,explain
find me the abnormal points,anomaly
find the odd one out in the numbers,anomaly
can you summarize the current status,overview
how has sales changed over time,trend
projected increase in website traffic for the next quarter,forecast
reasons for the improvement,root_cause
who r our best customers,top_bottom
which 3 accounts are the largest,top_bottom
merci,smalltalk
can you uncover the relationships between supply chain metrics,correlation
why did it drop so much,root_cause
how much revenue can we expect in 2024,forecast
most successful companies by revenue,top_bottom
anything that raises an eyebrow,insights
hey whats good,smalltalk
dont use any filters,refinement
give me an executive summary,overview
show me highlights,insights
show me last quarter's,refinement
what's worth knowing about this data?,insights
what does this metric represent,explain
projected sales for the next quarter and two following,forecast
what are the main points of interest,insights
odd spikes in amount,anomaly
amount shipped and boxes: is there a connection,correlation
have a gr8 day,smalltalk
how do i make sence of this info,explain
what will amount be next month,forecast
forecast the sales figures for next quarter,forecast
predict the sales trend for the next year,forecast
history of revenue,trend
i need to know whats going on,insights
have a nice evening,smalltalk
how will our sales change in the future,forecast
can you give me an exec summary,overview
find values that dont fit,anomaly
how do these measures interact,correlation
what caused the drop in sales,root_cause
is there a link between amount and boxes shipped,correlation
this year only pls,refinement
what is the trend of our companys income over the past 5 years,trend
what's worth noting in this data?,insights
how much sales can we expect next year,forecast
what r the worst 5 states by crime rate,top_bottom
give me a list of the bottom 10 products by profit,top_bottom
help,unclear
"i'm confused, can you clarify what this graph represents?",explain
growth prospects for the next 3 years,forecast
projected income for the next 5 years,forecast
trend of revenue by season,trend
can you analyze the correlation between price and quantity,correlation
give me the bottom 10% of regions by performance,top_bottom
what are the key findings,insights
i need to know whats happening,insights
what is this dashboard trying to tell me,explain
hi buddy boy,smalltalk
reason for the decline,root_cause
what is the seasonal pattern of income,trend
rank the top 3 accounts,top_bottom
can you provide some context for this dashboard,explain
seasonal fluctuations in customer engagement,trend
what's the prediction for customer engagement next quarter,forecast
i'm looking for a new phone case,unclear
can you explain the decline,root_cause
data points that are extremely high or low,anomaly
forecasting sales for the next 9 months,forecast
can you provide context for this graph,explain
can you give me a forecast of the sales amount for the next 6 months,forecast
the first 10 by amount in order,top_bottom
